id,store_name,store_name_gn,store_name_tb,store_name_hp,store_name_retty,store_name_demaekan,store_name_uber,store_name_google,phone_number,area_id
1,"美味か 船橋駅前店",,"美味か 船橋駅前店","美味か-UMAKA- 船橋駅前店",,,,"美味か-UMAKA- 船橋駅前店",080-7585-1818,1
2,"博多焼き鳥・野菜巻き・もつ鍋 かつぎや 西船橋店","博多もつ鍋 焼き鳥 かつぎや 西船橋店","博多焼き鳥・野菜巻き・もつ鍋 かつぎや 西船橋店",,,,,"かつぎや 西船橋店",047-404-3157,1
3,"船橋 寿司 天",,"船橋 寿司 天",,,,,,047-460-5078,1
4,"猿八",,"猿八",,,,,"猿八",03-5761-4196,1
5,"和牛をクラフトビールでたしなむ ミートマフィア 船橋南口店","和牛をクラフトビールでたしなむ ミートマフィア船橋南口店","和牛をクラフトビールでたしなむ ミートマフィア 船橋南口店","和牛をクラフトビールでたしなむ　ミートマフィア船橋南口店",,,,,03-4446-9645,1
6,"FES by asobi","炭火肉・宴会 FES by asobi ～フェス バイ アソビ～","FES by asobi",,,,,"FES by asobi",047-409-9227,1
7,"海と山の幸×和み個室 ぐるなべ 船橋店","海と山の幸×和み個室 ぐるなべ 船橋店","海と山の幸×和み個室 ぐるなべ 船橋店","海と山の幸 和み個室 ぐるなべ 船橋店",,,,"海と山の幸×和み個室 ぐるなべ 船橋店",03-4567-6621,1
8,"北の味紀行と地酒 北海道 津田沼駅前店",,"北の味紀行と地酒 北海道 津田沼駅前店",,,,,"北の味紀行と地酒 北海道 津田沼店",03-6735-9334,1
9,"いちげん 西船橋店","個室居酒屋 いちげん 西船橋店","いちげん 西船橋店",,,,,"居酒屋 いちげん 西船橋店",047-431-3390,1
10,"鮪バル27マルシェ",,"鮪バル27マルシェ",,,,,"鮪バル 27マルシェ",047-432-0400,1
11,"お好み焼き・もんじゃ 粉と水","お好み焼 もんじゃ 粉と水","お好み焼き・もんじゃ 粉と水",,,,,,047-472-9624,1
12,"肉の匠 将泰庵 船橋本店","肉の匠 将泰庵 船橋はなれ店","肉の匠 将泰庵 船橋本店","肉の匠　将泰庵　船橋総本店",,,,,047-409-9889,1
13,"粋な肉 船橋店","旬鮮魚 黒毛和牛 個室居酒屋 粋な肉 船橋店","粋な肉 船橋店","旬鮮魚 黒毛和牛 個室居酒屋 粋な肉 船橋店",,,,"粋な肉 船橋店",080-8010-9987,1
14,"50えん焼とりきんちゃん家 津田沼本店",,"50えん焼とりきんちゃん家 津田沼本店",,,,,,047-471-5098,1
15,"船橋商店",,"船橋商店",,,,,,070-3195-9512,1
16,"焼肉はるくん",,"焼肉はるくん",,,,,"焼肉はるくん。",047-432-7366,1
17,"kawara CAFE＆DINING 津田沼PARCO店","kawara CAFE＆DINING 津田沼PARCO店","kawara CAFE＆DINING 津田沼PARCO店",,,,,,047-479-5810,1
18,"エル バルコ",,"エル バルコ",,,,,,047-425-0865,1
19,"完全個室焼肉 GYU","完全個室焼肉 牛（ギュウ）","完全個室焼肉 GYU",,,,"【A5ランク和牛 焼肉】牛 GYU",,047-404-9652,1
20,"路地ノ裏 灯篭",,"路地ノ裏 灯篭",,,,,"路地ノ裏 灯篭",047-404-9100,1
21,"CHEESE SQUARE 船橋店","肉×チーズイタリアン CHEESE SQUARE 船橋店","CHEESE SQUARE 船橋店","イタリアンバル CHEESE SQUARE 船橋店",,,"チーズ料理専門店　チーズスクエア-CHEESE SQAURE- 船橋店",,047-426-1100,1
22,"船橋ビストロ 炙りや",,"船橋ビストロ 炙りや",,,,,,070-3399-1789,1
23,"黒毛和牛 肉寿司 焼き鳥×完全個室 和食の故郷 船橋店",,"黒毛和牛 肉寿司 焼き鳥×完全個室 和食の故郷 船橋店",,,,,,047-409-6166,1
24,"PIZZERIA347 by il pinolo",PIZZERIA347,"PIZZERIA347 by il pinolo",,,,,,047-460-3101,1
25,"焼肉 琉宮苑",,"焼肉 琉宮苑","焼肉 琉宮苑 船橋",,,,,047-460-3133,1
26,"ネオ馬肉酒場ジョッキー 船橋店",,"ネオ馬肉酒場ジョッキー 船橋店","ネオ馬肉酒場ジョッキー　船橋店",,,,,047-408-5000,1
27,"熟成焼鳥 居酒屋 かまどか 船橋店",,"熟成焼鳥 居酒屋 かまどか 船橋店",,,,,"かまどか 船橋店",047-426-8894,1
28,"刻 船橋本店",,"刻 船橋本店","時の居酒屋　刻　船橋本店",,,,"刻 船橋本店",047-426-1000,1
29,"ブッチャーズ 八十郎","船橋 肉バル ブッチャーズ八十郎","ブッチャーズ 八十郎",,,,,"ブッチャーズ 八十郎",047-455-8699,1
30,"海賊の台所 船橋店",,"海賊の台所 船橋店","海賊の台所　船橋店",,,,,047-420-0600,1
31,"今日和 津田沼パルコ店",,"今日和 津田沼パルコ店",,,,,,047-471-8421,1
32,"焼肉やまと 船橋本店","個室×記念日 焼肉やまと 船橋本店","焼肉やまと 船橋本店","焼肉やまと　船橋店",,,,"やまと 船橋本店",047-422-4129,1
33,"和旬彩 串あげ おばら",,"和旬彩 串あげ おばら",,,,,"和旬彩 串あげ おばら",047-411-6303,1
34,"アジアンバルMAE963",,"アジアンバルMAE963",,,,"アジアンバルMAE963 Asian Bal MAE963","アジアンバルMAE963",047-404-9496,1
35,"大衆ホルモン焼肉 参佰宴 地下",,"大衆ホルモン焼肉 参佰宴 地下","大衆ホルモン焼肉　参佰宴　地下",,,,"参佰宴 地下",047-407-0383,1
36,"牙城苑",,"牙城苑",,,,,,047-335-2205,1
37,"シュラスコ&ビアレストラン ALEGRIA Funabashi","シュラスコ＆ビアレストラン ALEGRIA Funabashi アレグリア船橋","シュラスコ&ビアレストラン ALEGRIA Funabashi",,,,"シュラスコ&ビアレストラン ALEGRIA Funabashi",,047-411-6272,1
38,"イタリアンバルワインと泡の店33",,"イタリアンバルワインと泡の店33",,,,,,047-409-7115,1
39,"全席個室居酒屋 四季邸 船橋駅前店","全席個室居酒屋 四季邸 船橋駅前店","全席個室居酒屋 四季邸 船橋駅前店","【24時まで営業中】全席完全個室居酒屋 四季邸－SHIKITEI－船橋駅前店",,,,"四季邸 船橋駅前店",047-481-8170,1
40,"CONA 船橋店",,"CONA 船橋店",,,,,,047-409-8055,1
41,"焼肉ここから 津田沼店",,"焼肉ここから 津田沼店","焼肉ここから　船橋店",,,,"焼肉ここから 船橋店",047-497-8335,1
42,"大衆酒場 牛タン 煮込み キなり。",,"大衆酒場 牛タン 煮込み キなり。",,,,,"大衆酒場 牛タン 煮込み キなり。",070-1274-2944,1
43,"二代目 やっこ",,"二代目 やっこ",,,,,"海鮮居酒屋 二代目やっこ",047-431-6008,1
44,"讃八小龍包",,"讃八小龍包",,,,,,047-404-3812,1
